,wind_speed_mps,wave_height_m
t1,3.97535,0.84
t2,4.2572,0.84
t3,4.3328,0.87
t4,3.224066667,0.89
t5,3.03075,0.9
t6,2.826083333,0.81
t7,2.649383333,0.84
t8,1.682733333,0.87
t9,3.4938,0.88
t10,5.648816667,0.84
t11,5.60455,0.89
t12,5.5045,0.84
t13,6.71795,0.77
t14,8.611433333,0.79
t15,8.7169,0.81
t16,9.105033333,0.82
t17,10.18791667,0.91
t18,11.01926667,0.98
t19,11.54255,0.96
t20,11.84051667,1.03
t21,12.3862,1.2
t22,13.59663333,1.16
t23,14.34376667,1.28
t24,14.70665,1.34
t25,14.40443333,1.34
t26,12.68936667,1.49
t27,10.74826667,1.31
t28,8.282316667,1.33
t29,4.67475,1.46
t30,2.7918,1.31
t31,5.67295,1.22
t32,13.1582,1.26
t33,13.92358333,1.14
t34,12.22801667,1.37
t35,11.55176667,1.7
t36,11.01116667,1.57
t37,10.24118333,1.59
t38,10.0705,1.55
t39,9.805783333,1.43
t40,9.308116667,1.62
t41,9.422466667,1.45
t42,9.62385,1.56
t43,9.17765,1.5
t44,8.928016667,1.5
t45,8.83445,1.46
t46,8.1501,1.62
t47,7.480383333,1.5
t48,7.601133333,1.47
t49,8.040333333,1.3
t50,8.569666667,1.26
t51,9.137883333,1.26
t52,8.985333333,1.17
t53,9.544916667,1.19
t54,9.602133333,1.19
t55,10.66793333,1.28
t56,11.46368333,1.29
t57,12.44403333,1.43
t58,13.62866667,1.5
t59,13.8958,1.68
t60,14.40296667,1.85
t61,15.28995,1.87
t62,15.66803333,2.07
t63,16.17546667,2.14
t64,15.37301667,2.34
t65,15.82735,2.36
t66,16.34258333,2.43
t67,18.18041667,2.43
t68,18.59043333,2.74
t69,18.90143333,3.08
t70,18.83693333,3.07
t71,22.06645,3.34
t72,20.93201667,3.63
t73,19.93555,3.87
t74,20.31993333,4.13
t75,19.46351667,4.06
t76,18.15418333,4.07
t77,17.27068333,4.2
t78,15.99845,3.73
t79,14.77051667,3.47
t80,14.24386667,3.65
t81,13.71478333,3.87
t82,13.04475,3.26
t83,12.74038333,3.49
t84,12.27728333,3.16
t85,10.84333333,2.87
t86,9.745716667,3.02
t87,8.543483333,2.64
t88,8.528683333,2.61
t89,7.959866667,2.45
t90,6.7823,2.37
t91,4.778383333,1.97
t92,3.711133333,2.14
t93,5.0601,1.82
t94,6.19,1.85
t95,6.847866667,1.88
t96,5.938716667,1.76
t97,6.0945,1.69
t98,8.053883333,1.57
t99,8.981983333,1.44
t100,8.332166667,1.26
t101,7.6223,1.2
t102,8.47755,1.04
t103,9.743816667,1
t104,10.33821667,0.95
t105,8.336416667,0.93
t106,7.1253,0.92
t107,5.04285,0.92
t108,3.175166667,0.85
t109,2.7862,0.91
t110,4.480233333,0.84
t111,4.364883333,0.8
t112,3.756433333,0.76
t113,2.8462,0.73
t114,2.608416667,0.63
t115,1.5966,0.62
t116,1.450166667,0.59
t117,3.047533333,0.63
t118,4.3838,0.57
t119,3.254416667,0.6
t120,3.066233333,0.57
t121,4.0076,0.61
t122,4.163316667,0.56
t123,4.213066667,0.58
t124,4.29275,0.54
t125,5.13735,0.52
t126,4.738683333,0.53
t127,4.899083333,0.53
t128,5.554933333,0.53
t129,6.479666667,0.52
t130,6.332566667,0.48
t131,6.437883333,0.47
t132,6.994266667,0.49
t133,7.53435,0.52
t134,7.321166667,0.52
t135,7.366666667,0.53
t136,7.663433333,0.54
t137,7.284583333,0.56
t138,6.646016667,0.63
t139,6.297866667,0.66
t140,5.972416667,0.69
t141,4.7872,0.65
t142,4.855066667,0.7
t143,5.58955,0.76
t144,4.519483333,0.85
t145,4.907766667,0.91
t146,5.606633333,1.02
t147,4.420733333,1.01
t148,3.485633333,1.01
t149,3.345183333,0.98
t150,3.78455,0.96
t151,3.505483333,0.87
t152,3.624183333,0.91
t153,3.372166667,0.78
t154,4.029,0.74
t155,4.743516667,0.82
t156,3.487333333,0.79
t157,4.3339,0.78
t158,4.996166667,0.89
t159,4.33915,0.87
t160,4.2882,0.86
t161,5.672916667,0.9
t162,4.8591,0.76
t163,3.256833333,0.76
t164,3.43275,0.75
t165,4.280833333,0.76
t166,4.386,0.79
t167,5.092716667,0.77
t168,5.669583333,0.81
t169,6.17415,0.78
t170,6.706233333,0.87
t171,8.699166667,0.93
t172,8.436416667,0.92
t173,8.88495,1.03
t174,8.789833333,0.95
t175,8.8786,1.04
t176,9.411683333,1.02
t177,8.7741,1.05
t178,8.396733333,1.01
t179,8.3649,0.98
t180,7.79395,0.94
t181,8.391316667,0.98
t182,8.257783333,1
t183,8.635016667,0.96
t184,10.32425,0.98
t185,10.53641667,1.01
t186,11.17956667,1.07
t187,11.69111667,1.05
t188,12.01268333,1.1
t189,12.86311667,1.14
t190,12.27335,1.14
t191,12.35248333,1.15
t192,12.33955,1.12
t193,12.10546667,1.09
t194,11.5153,1.06
t195,11.93875,1.08
t196,11.9384,0.95
t197,12.12608333,1.06
t198,11.86336667,1
t199,12.13956667,0.98
t200,11.33565,0.98
t201,10.93598333,1.05
t202,11.75275,1.01
t203,10.57541667,0.94
t204,8.8415,0.9
t205,8.181416667,0.93
t206,8.776816667,0.9
t207,7.75025,0.87
t208,7.319033333,0.82
t209,6.8901,0.77
t210,6.202716667,0.79
t211,7.615116667,0.76
t212,10.08483333,0.69
t213,12.6247,0.82
t214,12.32148333,1.07
t215,12.49135,1.19
t216,13.53315,1.34
t217,14.50615,1.64
t218,14.686,1.86
t219,13.74101667,1.92
t220,13.37845,2.11
t221,13.17478333,2.25
t222,11.63711667,2.17
t223,11.65183333,2.23
t224,12.39131667,2.08
t225,12.91465,2.05
t226,12.38866667,1.94
t227,12.70431667,2.05
t228,13.13968333,2.19
t229,13.81068333,2.42
t230,14.73401667,2.34
t231,15.18191667,2.2
t232,14.55553333,2.42
t233,13.86166667,2.53
t234,13.10065,2.5
t235,12.74008333,2.4
t236,11.54126667,2.39
t237,11.06938333,2.12
t238,10.41828333,2.06
t239,9.94445,2.02
t240,9.2749,1.99
t241,8.872066667,1.79
t242,8.74565,1.85
t243,8.403433333,1.7
t244,8.686283333,1.7
t245,7.886483333,1.61
t246,7.374266667,1.65
t247,6.7554,1.91
t248,6.916,1.63
t249,6.326083333,1.62
t250,6.15505,1.56
t251,5.853816667,1.51
t252,6.660216667,1.58
t253,7.7854,1.5
t254,8.315033333,1.38
t255,8.4774,1.43
t256,8.81635,1.61
t257,9.1215,1.52
t258,9.968683333,1.61
t259,10.23421667,1.49
t260,9.94825,1.54
t261,9.9704,1.52
t262,10.38456667,1.52
t263,10.33421667,1.49
t264,10.26013333,1.48
t265,10.0225,1.46
t266,10.50708333,1.43
t267,10.36041667,1.5
t268,10.08333333,1.39
t269,10.40026667,1.39
t270,9.723683333,1.4
t271,10.41921667,1.32
t272,10.25793333,1.34
t273,9.912866667,1.29
t274,10.05898333,1.33
t275,8.698583333,1.27
t276,7.437783333,1.2
t277,5.495,1.19
t278,2.403883333,1.08
t279,1.477,1
t280,1.88765,0.99
t281,3.189366667,1
t282,2.506466667,1
t283,0.851233333,1.07
t284,0.778333333,1.08
t285,1.81495,1.15
t286,2.3787,1.14
t287,3.080783333,1.15
t288,3.5249,1.06
t289,3.5249,1.1
t290,3.5249,0.99
t291,3.5249,0.95
t292,4.7078,1.02
t293,4.777533333,0.98
t294,4.4587,0.93
t295,4.4587,1.05
t296,4.4587,0.96
t297,5.280116667,0.97
t298,5.6147,0.94
t299,4.350083333,0.89
t300,5.0238,0.95
t301,4.997966667,1.01
t302,5.730516667,1.09
t303,5.02215,0.99
t304,4.23535,1.07
t305,3.052816667,1.08
t306,2.03595,1.07
t307,1.802383333,0.98
t308,1.378683333,0.94
t309,1.597333333,0.95
t310,1.624066667,1.01
t311,3.21235,0.89
t312,3.977916667,0.88
t313,4.022516667,0.9
t314,4.281716667,0.91
t315,5.067316667,0.91
t316,5.592383333,0.84
t317,5.795483333,0.87
t318,7.76205,0.88
t319,7.9879,0.97
t320,8.2847,1
t321,9.648016667,1.04
t322,10.24361667,1.08
t323,9.977766667,1.2
t324,10.72288333,1.24
t325,10.3007,1.25
t326,9.518766667,1.29
t327,9.03665,1.2
t328,8.5182,1.23
t329,7.561633333,1.17
t330,6.84595,1.24
t331,6.91155,1.18
t332,6.7082,1.07
t333,6.327483333,1.12
t334,5.962733333,1.07
t335,5.89395,1.12
t336,6.5812,1.16
t337,7.261633333,1.15
t338,8.475983333,1.27
t339,8.58985,1.2
t340,9.222466667,1.34
t341,9.691733333,1.29
t342,9.328983333,1.38
t343,8.886916667,1.46
t344,9.4846,1.53
t345,9.710583333,1.5
t346,10.0501,1.57
t347,9.335916667,1.61
t348,10.1058,1.52
t349,10.63978333,1.57
t350,11.57435,1.69
t351,11.8311,1.79
t352,12.28795,1.71
t353,12.79406667,2.01
t354,12.60463333,2.13
t355,12.79895,2.09
t356,13.3206,2.44
t357,13.65686667,2.27
t358,12.73325,2.07
t359,12.22931667,2.21
t360,13.03821667,2.14
t361,14.50911667,2.27
t362,13.38521667,2.57
t363,13.38995,2.27
t364,12.54656667,2.55
t365,11.37393333,2.48
t366,11.83556667,2.52
t367,12.33006667,2.37
t368,11.50148333,2.44
t369,9.9705,2.45
t370,9.843983333,2.38
t371,9.789666667,2.65
t372,9.126633333,2.69
t373,8.73175,2.98
t374,8.125666667,2.59
t375,7.971083333,2.32
t376,7.821766667,2.32
t377,7.008066667,2.18
t378,6.75135,2.16
t379,6.316366667,2.09
t380,5.819116667,2.13
t381,4.6231,2.49
t382,4.4823,2.42
t383,4.170766667,2.26
t384,4.347316667,2.62
t385,3.924583333,2.46
t386,3.308616667,2.28
t387,2.979633333,2.45
t388,2.4514,2.62
t389,1.678916667,2.3
t390,1.21045,2.79
t391,1.7749,2.22
t392,3.051583333,1.93
t393,3.60765,2.44
t394,4.87555,2.19
t395,6.59855,2.15
t396,7.280183333,2.29
t397,7.9089,2.08
t398,8.352766667,2.05
t399,8.411216667,2.27
t400,7.49935,2.2
t401,6.935,2.29
t402,6.51775,2.12
t403,5.774433333,2.24
t404,5.548733333,2.15
t405,6.891,2.66
t406,7.77345,2.11
t407,8.393933333,2.23
t408,9.625266667,2.05
t409,9.9416,2.24
t410,9.897916667,2.21
t411,9.73295,2.47
t412,9.514,2.39
t413,9.284066667,2.41
t414,8.657416667,2.51
t415,9.428483333,2.1
t416,9.1802,2.02
t417,8.8406,1.68
t418,7.817733333,1.99
t419,7.35575,1.72
t420,7.5488,1.87
t421,7.184866667,1.85
t422,6.77645,1.77
t423,6.3674,1.63
t424,5.4768,1.75
t425,4.178216667,1.57
t426,3.76085,1.53
t427,4.593683333,1.32
t428,5.506283333,1.43
t429,6.511116667,1.12
t430,7.3955,1.11
t431,7.466483333,1.13
t432,7.4767,1.09
t433,7.349316667,1.14
t434,7.803283333,1.07
t435,8.3525,1.15
t436,7.674583333,0.99
t437,8.029116667,1.04
t438,7.3831,0.96
t439,6.578533333,1
t440,7.270533333,1.08
t441,7.09125,0.97
t442,6.4768,0.84
t443,6.165333333,0.86
t444,5.553633333,0.84
t445,5.8815,0.86
t446,5.435366667,0.8
t447,6.28125,0.81
t448,6.860766667,0.8
t449,6.873816667,0.76
t450,7.654216667,0.78
t451,7.451383333,0.76
t452,7.989233333,0.73
t453,8.7132,0.81
t454,8.706716667,0.72
t455,10.24315,0.66
t456,11.87451667,0.7
t457,12.33346667,0.67
t458,12.4206,0.67
t459,12.45715,0.75
t460,12.66223333,0.78
t461,12.99745,0.87
t462,12.83371667,0.92
t463,13.01725,1.04
t464,13.64523333,1.11
t465,14.26,1.17
t466,14.35248333,1.23
t467,14.01566667,1.23
t468,13.89625,1.29
t469,13.35743333,1.35
t470,13.52318333,1.37
t471,13.39346667,1.31
t472,13.09708333,1.41
t473,13.20831667,1.51
t474,13.60126667,1.46
t475,13.48626667,1.56
t476,13.32618333,1.48
t477,13.6852,1.53
t478,14.50435,1.52
t479,14.94786667,1.57
t480,14.918,1.57
t481,15.80256667,1.69
t482,15.90608333,1.73
t483,16.59651667,1.88
t484,15.54305,1.9
t485,14.1742,1.94
t486,12.41883333,1.78
t487,9.640716667,1.76
t488,8.1115,1.74
t489,9.240716667,1.76
t490,9.001266667,1.72
t491,8.287466667,1.69
t492,9.696666667,1.69
t493,10.08955,1.78
t494,11.1507,1.79
t495,9.468,1.78
t496,7.024133333,1.71
t497,5.97765,1.54
t498,6.592666667,1.75
t499,5.81915,1.54
t500,4.7741,1.59
t501,4.238516667,1.63
t502,5.1826,1.62
t503,5.76965,1.55
t504,4.441066667,1.66
t505,5.272116667,1.69
t506,8.205116667,1.47
t507,9.29765,1.51
t508,9.672316667,1.58
t509,9.452116667,1.57
t510,8.091233333,1.5
t511,8.299583333,1.76
t512,7.82895,1.64
t513,7.138,1.52
t514,7.178216667,1.68
t515,7.729633333,1.54
t516,7.68155,1.61
t517,6.61485,1.59
t518,6.058983333,1.61
t519,4.632383333,1.83
t520,3.225483333,1.61
t521,2.531883333,1.76
t522,3.080466667,1.67
t523,3.88105,1.68
t524,5.2447,1.53
t525,6.903483333,1.53
t526,8.345066667,1.53
t527,8.582416667,1.45
t528,7.8712,1.56
t529,8.324816667,1.44
t530,9.5,1.4
t531,8.868966667,1.34
t532,7.975616667,1.44
t533,7.6698,1.3
t534,7.896916667,1.14
t535,8.46995,1.18
t536,9.03405,1.18
t537,8.652783333,1.23
t538,7.830233333,1.04
t539,7.543183333,0.97
t540,7.91095,1.12
t541,8.10535,1.1
t542,9.41645,0.88
t543,9.653783333,0.93
t544,11.36631667,0.89
t545,11.9849,1.02
t546,12.91835,1.02
t547,13.42733333,1.24
t548,13.12925,1.21
t549,13.28228333,1.15
t550,12.87741667,1.21
t551,10.49821667,1.19
t552,9.9753,1.15
t553,9.203683333,1.05
t554,8.61955,1.01
t555,8.60265,1.04
t556,8.06195,0.97
t557,8.3289,0.92
t558,8.501383333,0.98
t559,7.184033333,0.95
t560,6.221466667,0.93
t561,6.582,0.83
t562,6.4791,0.8
t563,6.38945,0.76
t564,5.442483333,0.75
t565,5.090316667,0.75
t566,4.43455,0.81
t567,4.547033333,0.75
t568,4.63105,0.69
t569,3.8896,0.75
t570,2.611333333,0.71
t571,2.181333333,0.74
t572,2.085433333,0.69
t573,2.48305,0.62
t574,2.618616667,0.65
t575,3.270416667,0.59
t576,3.110283333,0.63
t577,3.8198,0.55
t578,5.0854,0.5
t579,5.2511,0.52
t580,6.168966667,0.54
t581,5.622666667,0.57
t582,6.116733333,0.58
t583,6.554016667,0.6
t584,7.384583333,0.63
t585,7.66365,0.66
t586,7.91415,0.67
t587,6.990383333,0.72
t588,6.879866667,0.68
t589,7.012866667,0.65
t590,6.390766667,0.63
t591,6.627733333,0.64
t592,7.674716667,0.68
t593,8.457933333,0.68
t594,9.20715,0.72
t595,10.19141667,0.74
t596,10.8804,0.77
t597,10.64125,0.81
t598,11.0673,0.79
t599,11.66748333,0.83
t600,12.78668333,0.81
t601,12.32118333,0.83
t602,10.66576667,0.86
t603,10.15281667,0.79
t604,10.32935,0.73
t605,9.8796,0.75
t606,10.18731667,0.65
t607,7.809266667,0.65
t608,6.09675,0.7
t609,8.355483333,0.65
t610,10.2625,0.59
t611,10.41953333,0.65
t612,10.71098333,0.58
t613,11.00836667,0.58
t614,10.46113333,0.58
t615,10.70355,0.59
t616,11.32386667,0.72
t617,10.99171667,0.83
t618,9.862466667,0.94
t619,9.09845,0.93
t620,8.67795,0.91
t621,7.47765,0.89
t622,7.6594,0.81
t623,8.33445,0.8
t624,8.75865,0.83
t625,8.125433333,0.89
t626,7.362983333,0.92
t627,6.577633333,0.96
t628,5.364,0.93
t629,5.800766667,0.96
t630,6.20165,0.97
t631,6.229716667,1.04
t632,7.385366667,1.11
t633,8.653833333,1.21
t634,8.2829,1.21
t635,8.651333333,1.19
t636,8.503416667,1.26
t637,8.337633333,1.28
t638,8.073033333,1.35
t639,7.337733333,1.4
t640,6.805783333,1.41
t641,7.913683333,1.34
t642,8.342033333,1.31
t643,7.416516667,1.26
t644,7.032616667,1.27
t645,7.106516667,1.32
t646,7.130233333,1.33
t647,6.7538,1.44
t648,6.338783333,1.79
t649,6.6071,1.39
t650,5.489583333,1.67
t651,4.998,1.42
t652,4.289683333,1.56
t653,3.862233333,1.41
t654,4.64265,1.54
t655,4.626716667,1.52
t656,4.135916667,1.76
t657,2.718,1.6
t658,2.3452,1.74
t659,3.4155,1.53
t660,4.6976,1.64
t661,4.204316667,1.6
t662,5.49785,1.68
t663,5.224916667,1.64
t664,6.648716667,1.48
t665,7.471516667,1.53
t666,7.63525,1.37
t667,8.641,1.46
t668,9.820516667,1.54
t669,10.622,1.51
t670,10.7077,1.34
t671,10.0608,1.61
t672,10.40265,1.48
t673,11.04855,1.65
t674,11.59198333,1.58
t675,11.90503333,1.78
t676,12.37181667,1.8
t677,13.02531667,1.72
t678,13.86146667,1.72
t679,14.30766667,1.83
t680,13.87806667,1.88
t681,12.72065,1.83
t682,12.37973333,1.65
t683,12.35763333,1.78
t684,12.64643333,1.71
t685,13.09286667,1.63
t686,12.02371667,1.66
t687,11.2367,1.54
t688,11.54135,1.49
t689,12.33158333,1.43
t690,12.41083333,1.46
t691,12.31248333,1.45
t692,12.61708333,1.39
t693,13.60788333,1.43
t694,14.32783333,1.35
t695,13.97485,1.59
t696,12.05663333,1.28
t697,10.77556667,1.34
t698,11.1648,1.34
t699,10.3114,1.17
t700,11.2657,1.09
t701,12.8669,1.36
t702,13.83911667,1.41
t703,14.49718333,1.72
t704,14.52405,2.01
t705,14.69786667,2.08
t706,14.27513333,2.09
t707,14.08735,2.29
t708,13.96936667,2.55
t709,13.92231667,2.45
t710,14.03046667,2.68
t711,12.87221667,2.61
t712,13.12711667,2.67
t713,12.961,2.53
t714,13.11508333,2.56
t715,11.8202,2.42
t716,10.94536667,2.51
t717,10.4909,2.17
t718,10.18596667,2.25
t719,9.717783333,2.28
t720,9.498,2.15
t721,8.158433333,1.93
t722,8.6855,1.96
t723,8.933333333,1.97
t724,8.456016667,1.82
t725,7.487866667,1.47
t726,5.62265,1.55
t727,5.310933333,1.35
t728,5.948616667,1.28
t729,6.4773,1.28
t730,8.922666667,1.3
t731,12.73598333,1.18
t732,13.2869,1.32
t733,12.87476667,1.45
t734,13.61391667,1.45
t735,14.74136667,1.73
t736,13.64491667,1.86
t737,15.37943333,1.79
t738,15.52528333,1.91
t739,14.98915,2.04
t740,14.11343333,2
t741,13.83395,1.89
t742,15.17798333,1.96
t743,14.35601667,1.86
t744,13.01738333,2.35
t745,12.55013333,2.2
t746,13.30275,2.08
t747,12.3931,2.01
t748,12.53455,1.96
t749,12.06346667,1.85
t750,11.35353333,2.2
t751,11.06315,2.05
t752,11.2528,1.87
t753,10.69923333,2.01
t754,10.77391667,1.88
t755,10.10613333,1.82
t756,9.8976,1.78
t757,9.075233333,1.74
t758,9.05335,1.75
t759,8.120216667,1.64
t760,7.788783333,1.54
t761,6.450666667,1.45
t762,6.893533333,1.36
t763,6.91375,1.35
t764,6.60285,1.37
t765,6.546416667,1.28
t766,6.544783333,1.35
t767,6.504016667,1.34
t768,6.540633333,1.3
t769,6.64845,1.2
t770,6.2779,1.13
t771,7.553116667,1.23
t772,7.468233333,1.16
t773,7.63475,1.09
t774,8.2961,1.09
t775,7.9959,1.05
t776,8.297983333,1.03
t777,8.512633333,1
t778,7.73815,0.96
t779,9.540633333,1.04
t780,10.40595,1.06
t781,11.1841,1.2
t782,11.84965,1.2
t783,11.65888333,1.14
t784,12.31475,1.34
t785,12.60685,1.28
t786,12.67556667,1.45
t787,12.33761667,1.46
t788,11.49058333,1.5
t789,12.16778333,1.5
t790,11.51173333,1.52
t791,10.86818333,1.32
t792,11.173,1.14
t793,11.99825,1.15
t794,12.73038333,1.18
t795,12.5371,1.24
t796,12.72951667,1.26
t797,12.32556667,1.33
t798,12.23151667,1.34
t799,12.37275,1.33
t800,12.49868333,1.3
t801,12.11268333,1.33
t802,11.90231667,1.33
t803,11.81026667,1.41
t804,11.59358333,1.29
t805,11.506,1.23
t806,12.13876667,1.25
t807,13.1196,1.11
t808,12.45071667,1.17
t809,11.82661667,1.05
t810,12.26841667,1.16
t811,11.31733333,1.15
t812,12.10108333,1.2
t813,13.32911667,1.32
t814,12.88886667,1.2
t815,12.07396667,1.19
t816,12.32368333,1.27
t817,13.2545,1.25
t818,9.434666667,1.32
t819,8.608683333,1.44
t820,7.499233333,1.44
t821,7.4371,1.47
t822,8.804316667,1.64
t823,13.24831667,1.52
t824,13.66123333,1.58
t825,13.91318333,1.74
t826,13.83185,2.04
t827,14.36516667,2.08
t828,13.22763333,2.28
t829,13.40888333,2.13
t830,13.879,2.12
t831,14.35776667,2.12
t832,13.96763333,2.17
t833,14.00873333,2.29
t834,14.22153333,2.3
t835,14.38846667,2.24
t836,14.57595,2.48
t837,15.02078333,2.26
t838,15.82968333,2.47
t839,16.35796667,2.55
t840,17.11205,2.62
